Feature,ADNIMERGE Frequency,Gene Expression Frequency,MRI Frequency,Total Frequency,Domain
MRI_790440,0,0,4934,4934,MRI
MRI_790863,0,0,4934,4934,MRI
MRI_791296,0,0,4934,4934,MRI
MRI_791310,0,0,4934,4934,MRI
MRI_791366,0,0,4934,4934,MRI
MRI_791385,0,0,4934,4934,MRI
MRI_791884,0,0,4934,4934,MRI
MRI_791942,0,0,4934,4934,MRI
MRI_792385,0,0,4934,4934,MRI
MRI_792769,0,0,4934,4934,MRI
MRI_792944,0,0,4934,4934,MRI
MRI_793077,0,0,4934,4934,MRI
MRI_793213,0,0,4934,4934,MRI
MRI_652,0,0,4933,4933,MRI
MRI_791,0,0,4933,4933,MRI
MRI_959,0,0,4933,4933,MRI
MRI_967,0,0,4933,4933,MRI
MRI_1027,0,0,4933,4933,MRI
MRI_1098,0,0,4933,4933,MRI
MRI_1236,0,0,4933,4933,MRI
MRI_1280,0,0,4933,4933,MRI
MRI_1309,0,0,4933,4933,MRI
MRI_1812,0,0,4933,4933,MRI
MRI_1943,0,0,4933,4933,MRI
MRI_2035,0,0,4933,4933,MRI
MRI_2139,0,0,4933,4933,MRI
MRI_2227,0,0,4933,4933,MRI
MRI_2259,0,0,4933,4933,MRI
MRI_2279,0,0,4933,4933,MRI
MRI_2442,0,0,4933,4933,MRI
MRI_2750,0,0,4933,4933,MRI
MRI_3040,0,0,4933,4933,MRI
MRI_3282,0,0,4933,4933,MRI
MRI_3321,0,0,4933,4933,MRI
MRI_3531,0,0,4933,4933,MRI
MRI_3536,0,0,4933,4933,MRI
MRI_3663,0,0,4933,4933,MRI
MRI_4034,0,0,4933,4933,MRI
MRI_4199,0,0,4933,4933,MRI
MRI_4317,0,0,4933,4933,MRI
MRI_4494,0,0,4933,4933,MRI
MRI_4569,0,0,4933,4933,MRI
MRI_4867,0,0,4933,4933,MRI
MRI_5428,0,0,4933,4933,MRI
MRI_5452,0,0,4933,4933,MRI
MRI_5473,0,0,4933,4933,MRI
MRI_5503,0,0,4933,4933,MRI
MRI_5595,0,0,4933,4933,MRI
MRI_5598,0,0,4933,4933,MRI
MRI_5879,0,0,4933,4933,MRI
MRI_5923,0,0,4933,4933,MRI
MRI_6064,0,0,4933,4933,MRI
MRI_28,0,0,4933,4933,MRI
MRI_194,0,0,4933,4933,MRI
MRI_227,0,0,4933,4933,MRI
MRI_256,0,0,4933,4933,MRI
MRI_469,0,0,4933,4933,MRI
MRI_787682,0,0,4933,4933,MRI
MRI_787742,0,0,4933,4933,MRI
MRI_787847,0,0,4933,4933,MRI
MRI_788654,0,0,4933,4933,MRI
MRI_788868,0,0,4933,4933,MRI
MRI_788879,0,0,4933,4933,MRI
MRI_788884,0,0,4933,4933,MRI
MRI_789118,0,0,4933,4933,MRI
MRI_789269,0,0,4933,4933,MRI
MRI_789341,0,0,4933,4933,MRI
MRI_789642,0,0,4933,4933,MRI
MRI_789950,0,0,4933,4933,MRI
MRI_790251,0,0,4933,4933,MRI
MRI_790343,0,0,4933,4933,MRI
MRI_790569,0,0,4933,4933,MRI
MRI_790950,0,0,4933,4933,MRI
MRI_791180,0,0,4933,4933,MRI
MRI_791338,0,0,4933,4933,MRI
MRI_791606,0,0,4933,4933,MRI
MRI_791723,0,0,4933,4933,MRI
MRI_791853,0,0,4933,4933,MRI
MRI_792209,0,0,4933,4933,MRI
MRI_792243,0,0,4933,4933,MRI
MRI_792333,0,0,4933,4933,MRI
MRI_792429,0,0,4933,4933,MRI
MRI_792473,0,0,4933,4933,MRI
MRI_792703,0,0,4933,4933,MRI
MRI_792752,0,0,4933,4933,MRI
MRI_793103,0,0,4933,4933,MRI
MRI_793381,0,0,4933,4933,MRI
MRI_793469,0,0,4933,4933,MRI
MRI_793557,0,0,4933,4933,MRI
MRI_887,0,0,4932,4932,MRI
MRI_1519,0,0,4932,4932,MRI
MRI_1608,0,0,4932,4932,MRI
MRI_1647,0,0,4932,4932,MRI
MRI_1656,0,0,4932,4932,MRI
MRI_1894,0,0,4932,4932,MRI
MRI_2062,0,0,4932,4932,MRI
MRI_2167,0,0,4932,4932,MRI
MRI_2244,0,0,4932,4932,MRI
MRI_2493,0,0,4932,4932,MRI
MRI_2916,0,0,4932,4932,MRI
MRI_2955,0,0,4932,4932,MRI
MRI_3021,0,0,4932,4932,MRI
MRI_3120,0,0,4932,4932,MRI
MRI_3195,0,0,4932,4932,MRI
MRI_3255,0,0,4932,4932,MRI
MRI_3413,0,0,4932,4932,MRI
MRI_3469,0,0,4932,4932,MRI
MRI_3676,0,0,4932,4932,MRI
MRI_3688,0,0,4932,4932,MRI
MRI_4031,0,0,4932,4932,MRI
MRI_4082,0,0,4932,4932,MRI
MRI_4099,0,0,4932,4932,MRI
MRI_4297,0,0,4932,4932,MRI
MRI_4382,0,0,4932,4932,MRI
MRI_4480,0,0,4932,4932,MRI
MRI_4562,0,0,4932,4932,MRI
MRI_4641,0,0,4932,4932,MRI
MRI_4655,0,0,4932,4932,MRI
MRI_4901,0,0,4932,4932,MRI
MRI_4929,0,0,4932,4932,MRI
MRI_4955,0,0,4932,4932,MRI
MRI_5138,0,0,4932,4932,MRI
MRI_5209,0,0,4932,4932,MRI
MRI_5569,0,0,4932,4932,MRI
MRI_5656,0,0,4932,4932,MRI
MRI_5983,0,0,4932,4932,MRI
MRI_6357,0,0,4932,4932,MRI
MRI_240,0,0,4932,4932,MRI
MRI_587,0,0,4932,4932,MRI
MRI_787229,0,0,4932,4932,MRI
MRI_787303,0,0,4932,4932,MRI
MRI_787387,0,0,4932,4932,MRI
MRI_787440,0,0,4932,4932,MRI
MRI_787688,0,0,4932,4932,MRI
MRI_787738,0,0,4932,4932,MRI
MRI_787780,0,0,4932,4932,MRI
MRI_787781,0,0,4932,4932,MRI
MRI_787819,0,0,4932,4932,MRI
MRI_787852,0,0,4932,4932,MRI
MRI_788212,0,0,4932,4932,MRI
MRI_788494,0,0,4932,4932,MRI
MRI_788569,0,0,4932,4932,MRI
MRI_788577,0,0,4932,4932,MRI
MRI_788603,0,0,4932,4932,MRI
MRI_788701,0,0,4932,4932,MRI
MRI_788716,0,0,4932,4932,MRI
MRI_788764,0,0,4932,4932,MRI
MRI_789217,0,0,4932,4932,MRI
MRI_789431,0,0,4932,4932,MRI
MRI_789439,0,0,4932,4932,MRI
MRI_789447,0,0,4932,4932,MRI
MRI_789606,0,0,4932,4932,MRI
MRI_789631,0,0,4932,4932,MRI
MRI_789852,0,0,4932,4932,MRI
MRI_789908,0,0,4932,4932,MRI
MRI_790198,0,0,4932,4932,MRI
MRI_790241,0,0,4932,4932,MRI
MRI_790353,0,0,4932,4932,MRI
MRI_790453,0,0,4932,4932,MRI
MRI_790643,0,0,4932,4932,MRI
MRI_790683,0,0,4932,4932,MRI
MRI_790981,0,0,4932,4932,MRI
MRI_791076,0,0,4932,4932,MRI
MRI_791185,0,0,4932,4932,MRI
MRI_791497,0,0,4932,4932,MRI
MRI_791530,0,0,4932,4932,MRI
MRI_791562,0,0,4932,4932,MRI
MRI_791664,0,0,4932,4932,MRI
MRI_791907,0,0,4932,4932,MRI
MRI_792202,0,0,4932,4932,MRI
MRI_792448,0,0,4932,4932,MRI
MRI_792484,0,0,4932,4932,MRI
MRI_792485,0,0,4932,4932,MRI
MRI_792872,0,0,4932,4932,MRI
MRI_793278,0,0,4932,4932,MRI
MRI_793303,0,0,4932,4932,MRI
MRI_793339,0,0,4932,4932,MRI
MRI_793403,0,0,4932,4932,MRI
MRI_793448,0,0,4932,4932,MRI
MRI_666,0,0,4931,4931,MRI
MRI_776,0,0,4931,4931,MRI
MRI_850,0,0,4931,4931,MRI
MRI_856,0,0,4931,4931,MRI
MRI_900,0,0,4931,4931,MRI
MRI_1050,0,0,4931,4931,MRI
MRI_1194,0,0,4931,4931,MRI
MRI_1290,0,0,4931,4931,MRI
MRI_1385,0,0,4931,4931,MRI
MRI_1403,0,0,4931,4931,MRI
MRI_1420,0,0,4931,4931,MRI
MRI_1440,0,0,4931,4931,MRI
MRI_1472,0,0,4931,4931,MRI
MRI_1575,0,0,4931,4931,MRI
MRI_1618,0,0,4931,4931,MRI
MRI_1715,0,0,4931,4931,MRI
MRI_1719,0,0,4931,4931,MRI
MRI_1785,0,0,4931,4931,MRI
MRI_2487,0,0,4931,4931,MRI
MRI_2506,0,0,4931,4931,MRI
MRI_2606,0,0,4931,4931,MRI
MRI_2648,0,0,4931,4931,MRI
MRI_2727,0,0,4931,4931,MRI
MRI_2774,0,0,4931,4931,MRI
MRI_2886,0,0,4931,4931,MRI
MRI_2928,0,0,4931,4931,MRI
MRI_3090,0,0,4931,4931,MRI
MRI_3194,0,0,4931,4931,MRI
MRI_3253,0,0,4931,4931,MRI
MRI_3264,0,0,4931,4931,MRI
MRI_3278,0,0,4931,4931,MRI
MRI_3291,0,0,4931,4931,MRI
